"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Javier Mena","https://sortitoutsi.net/graphics/browse/1/1559116/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000305003.png","2000305003","0
                                 4","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000305003.png?width=100&height=100"
"Jesús Fortea","https://sortitoutsi.net/graphics/browse/1/1566517/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000293312.png","2000293312","1
                                 10","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/2000293312.png?width=100&height=100"
"Joan","https://sortitoutsi.net/graphics/browse/1/1563019/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299435.png","2000299435","0
                                 3","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000299435.png?width=100&height=100"
"Joan Mascaró","https://sortitoutsi.net/graphics/browse/1/1464585/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000220094.png","2000220094","1
                                 3","V 2023.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.12/2000220094.png?width=100&height=100"
"Joel Pleguezuelos","https://sortitoutsi.net/graphics/browse/1/1824319/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000443248.png","2000443248","0
                                 1","",""
"Jorge","https://sortitoutsi.net/graphics/browse/1/1824772/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000412849.png","2000412849","Contribute","",""
"Jorge Cestero","https://sortitoutsi.net/graphics/browse/1/1462418/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000223283.png","2000223283","0
                                 2","V 2023.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.07/2000223283.png?width=100&height=100"
"José Reyes","https://sortitoutsi.net/graphics/browse/1/1827143/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000409386.png","2000409386","0
                                 2","",""
"Jude Bellingham","https://sortitoutsi.net/graphics/browse/1/1045704/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/29232937.png","29232937","18
                                 42","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/29232937.png?width=100&height=100"
"Kike Herrero","https://sortitoutsi.net/graphics/browse/1/1388188/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000111335.png","2000111335","0
                                 4","V 2024.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.05/2000111335.png?width=100&height=100"
"Kylian Mbappé","https://sortitoutsi.net/graphics/browse/1/504987/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/85139014.png","85139014","10
                                 70","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/85139014.png?width=100&height=100"
"Lamini Fati","https://sortitoutsi.net/graphics/browse/1/1820569/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000412803.png","2000412803","0
                                 1","",""
"Liberto","https://sortitoutsi.net/graphics/browse/1/1562711/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299809.png","2000299809","0
                                 3","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000299809.png?width=100&height=100"
"Loren Zúñiga","https://sortitoutsi.net/graphics/browse/1/1264430/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000055376.png","2000055376","2
                                 9","V 2023.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.08/2000055376.png?width=100&height=100"
"Luis Paulo","https://sortitoutsi.net/graphics/browse/1/1824820/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000406691.png","2000406691","Contribute","",""
"Manu Serrano","https://sortitoutsi.net/graphics/browse/1/1470080/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000211978.png","2000211978","0
                                 2","V 2023.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.07/2000211978.png?width=100&height=100"
"Manuel Ángel","https://sortitoutsi.net/graphics/browse/1/1427222/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000146335.png","2000146335","0
                                 5","V 2023.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.12/2000146335.png?width=100&height=100"
"Marcos Viega","https://sortitoutsi.net/graphics/browse/1/1826822/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000408888.png","2000408888","Contribute","",""
"Mario Rivas","https://sortitoutsi.net/graphics/browse/1/1562698/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000299823.png","2000299823","1
                                 4","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000299823.png?width=100&height=100"
"Melvin","https://sortitoutsi.net/graphics/browse/1/1621540/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000330857.png","2000330857","0
                                 2","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000330857.png?width=100&height=100"
