"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Ïu Martínez","https://sortitoutsi.net/graphics/browse/1/1824363/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000466880.png","2000466880","0
                                 1","",""
"Joan Anaya","https://sortitoutsi.net/graphics/browse/1/1521685/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000224995.png","2000224995","0
                                 5","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/2000224995.png?width=100&height=100"
"Joan García","https://sortitoutsi.net/graphics/browse/1/990268/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67277675.png","67277675","0
                                 18","V 2025.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.05/67277675.png?width=100&height=100"
"Joan Inglés","https://sortitoutsi.net/graphics/browse/1/1824217/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472385.png","2000472385","Contribute","",""
"Jofre Torrents","https://sortitoutsi.net/graphics/browse/1/1564203/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297306.png","2000297306","0
                                 6","V 2025.08","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.08/2000297306.png?width=100&height=100"
"Jordi Pesquer","https://sortitoutsi.net/graphics/browse/1/1820991/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472422.png","2000472422","Contribute","",""
"Juan Hernández","https://sortitoutsi.net/graphics/browse/1/1564048/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297543.png","2000297543","0
                                 4","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/2000297543.png?width=100&height=100"
"Jules Koundé","https://sortitoutsi.net/graphics/browse/1/378796/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/48036304.png","48036304","3
                                 52","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/48036304.png?width=100&height=100"
"Lamine Yamal","https://sortitoutsi.net/graphics/browse/1/1589233/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000256231.png","2000256231","4
                                 50","V 2025.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.07/2000256231.png?width=100&height=100"
"Landry Farré","https://sortitoutsi.net/graphics/browse/1/1564198/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297311.png","2000297311","0
                                 4","V 2024.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.09/2000297311.png?width=100&height=100"
"Leo Saca","https://sortitoutsi.net/graphics/browse/1/1564134/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000297412.png","2000297412","1
                                 3","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/2000297412.png?width=100&height=100"
"Lorenzo Oertli","https://sortitoutsi.net/graphics/browse/1/1820521/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403998.png","2000403998","0
                                 1","",""
"Lovro Chelfi","https://sortitoutsi.net/graphics/browse/1/1578541/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000273448.png","2000273448","0
                                 3","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/2000273448.png?width=100&height=100"
"Madou Murcia","https://sortitoutsi.net/graphics/browse/1/1820471/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000359494.png","2000359494","0
                                 1","",""
"Mamadou Mbacke","https://sortitoutsi.net/graphics/browse/1/1387632/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000112210.png","2000112210","0
                                 10","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000112210.png?width=100&height=100"
"Marc Bernal","https://sortitoutsi.net/graphics/browse/1/1565061/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000295603.png","2000295603","11
                                 12","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000295603.png?width=100&height=100"
"Marc Casadó","https://sortitoutsi.net/graphics/browse/1/1266493/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000058198.png","2000058198","4
                                 16","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000058198.png?width=100&height=100"
"Marc-André ter Stegen","https://sortitoutsi.net/graphics/browse/1/300340/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/35017428.png","35017428","3
                                 54","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/35017428.png?width=100&height=100"
"Marcos Parriego","https://sortitoutsi.net/graphics/browse/1/1811078/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000402701.png","2000402701","0
                                 1","",""
"Marcus Rashford","https://sortitoutsi.net/graphics/browse/1/283877/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28100266.png","28100266","3
                                 58","V 2025.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.04/28100266.png?width=100&height=100"
"Max Bonfill","https://sortitoutsi.net/graphics/browse/1/1811754/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000352191.png","2000352191","Contribute","",""
"Michal Zuk","https://sortitoutsi.net/graphics/browse/1/1824409/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000466853.png","2000466853","0
                                 2","",""
"Nico Marcipar","https://sortitoutsi.net/graphics/browse/1/1819995/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403919.png","2000403919","0
                                 2","",""
"Nil Teixidor","https://sortitoutsi.net/graphics/browse/1/1819844/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403960.png","2000403960","0
                                 1","",""
"Nil Vicens","https://sortitoutsi.net/graphics/browse/1/1819843/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403004.png","2000403004","Contribute","",""
"Nuhu Fofana","https://sortitoutsi.net/graphics/browse/1/1819902/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000461078.png","2000461078","Contribute","",""
"Orian Goren","https://sortitoutsi.net/graphics/browse/1/1826097/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000467065.png","2000467065","Contribute","",""
"Oriol Pallàs","https://sortitoutsi.net/graphics/browse/1/1811724/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493721.png","2000493721","Contribute","",""
"Òscar Gistau","https://sortitoutsi.net/graphics/browse/1/1825899/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000352027.png","2000352027","0
                                 1","",""
"Óscar Ureña","https://sortitoutsi.net/graphics/browse/1/1382501/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000119910.png","2000119910","1
                                 9","V 2025.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.07/2000119910.png?width=100&height=100"
"Pau Bergés","https://sortitoutsi.net/graphics/browse/1/1824407/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000468639.png","2000468639","Contribute","",""
"Pau Cifuentes","https://sortitoutsi.net/graphics/browse/1/1811624/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000443550.png","2000443550","0
                                 1","",""
"Pau Cubarsí","https://sortitoutsi.net/graphics/browse/1/1564632/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000296497.png","2000296497","8
                                 22","V 2025.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.09/2000296497.png?width=100&height=100"
"Pau Espí","https://sortitoutsi.net/graphics/browse/1/1820820/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472432.png","2000472432","0
                                 1","",""
"Pedri","https://sortitoutsi.net/graphics/browse/1/1067302/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67293495.png","67293495","6
                                 37","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/67293495.png?width=100&height=100"
"Pedro Rodríguez","https://sortitoutsi.net/graphics/browse/1/1825895/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000370427.png","2000370427","0
                                 1","",""
"Pedro Villar","https://sortitoutsi.net/graphics/browse/1/1823926/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403065.png","2000403065","Contribute","",""
"Pol Bernabéu","https://sortitoutsi.net/graphics/browse/1/1820027/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000403970.png","2000403970","0
                                 1","",""
"Pol Mancheño","https://sortitoutsi.net/graphics/browse/1/1820830/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000472408.png","2000472408","0
                                 1","",""
