"item-title","item-title href","item-title src","copies-text","px-3","submission-preview src","card-footer"
"Diego Llorente","https://sortitoutsi.net/graphics/browse/1/447917/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67011217.png","67011217","V 2024.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.01/67011217.png?width=100&height=100","1
                                 32"
"Elyaz","https://sortitoutsi.net/graphics/browse/1/1464627/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000220037.png","2000220037","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/2000220037.png?width=100&height=100","0
                                 8"
"Emmanuel N'Goran","https://sortitoutsi.net/graphics/browse/1/1820008/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000499198.png","2000499198","","","0
                                 1"
"Enzo Fierro","https://sortitoutsi.net/graphics/browse/1/1820062/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419163.png","2000419163","","","Contribute"
"Ez Abde","https://sortitoutsi.net/graphics/browse/1/1264096/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000054872.png","2000054872","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000054872.png?width=100&height=100","0
                                 22"
"Ezequiel Ávila","https://sortitoutsi.net/graphics/browse/1/180950/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14027117.png","14027117","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/14027117.png?width=100&height=100","1
                                 20"
"Fabián Embalo","https://sortitoutsi.net/graphics/browse/1/1819781/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000499137.png","2000499137","","","0
                                 1"
"Fèlix Garreta","https://sortitoutsi.net/graphics/browse/1/1439240/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000161665.png","2000161665","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/2000161665.png?width=100&height=100","0
                                 11"
"Fran Batán","https://sortitoutsi.net/graphics/browse/1/1824542/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000503200.png","2000503200","","","Contribute"
"Germán","https://sortitoutsi.net/graphics/browse/1/1470832/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000210774.png","2000210774","V 2024.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.03/2000210774.png?width=100&height=100","0
                                 2"
"Ginés Sorroche","https://sortitoutsi.net/graphics/browse/1/1369858/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000137475.png","2000137475","V 2022.03","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.03/2000137475.png?width=100&height=100","0
                                 2"
"Giovani Lo Celso","https://sortitoutsi.net/graphics/browse/1/184892/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14108651.png","14108651","V 2024.10","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.10/14108651.png?width=100&height=100","3
                                 38"
"Gnangoro Bouare","https://sortitoutsi.net/graphics/browse/1/1810496/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000441366.png","2000441366","","","Contribute"
"Héctor Bellerín","https://sortitoutsi.net/graphics/browse/1/282662/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/28066082.png","28066082","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/28066082.png?width=100&height=100","3
                                 64"
"Ian Forns","https://sortitoutsi.net/graphics/browse/1/1383834/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000117935.png","2000117935","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000117935.png?width=100&height=100","0
                                 9"
"Iker Amores","https://sortitoutsi.net/graphics/browse/1/1712253/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000499225.png","2000499225","","","Contribute"
"Isco","https://sortitoutsi.net/graphics/browse/1/452481/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67103537.png","67103537","V 2025.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.07/67103537.png?width=100&height=100","3
                                 45"
"Iván Corralejo","https://sortitoutsi.net/graphics/browse/1/1619087/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000335218.png","2000335218","","","0
                                 4"
"Jhon Arcila","https://sortitoutsi.net/graphics/browse/1/1531090/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000246075.png","2000246075","V 2025.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.02/2000246075.png?width=100&height=100","0
                                 4"
"Jorge Oreiro","https://sortitoutsi.net/graphics/browse/1/1462495/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000223117.png","2000223117","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000223117.png?width=100&height=100","1
                                 6"
"José Antonio Morante","https://sortitoutsi.net/graphics/browse/1/1823895/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000384299.png","2000384299","","","Contribute"
"José Antonio Ortega","https://sortitoutsi.net/graphics/browse/1/1812780/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419345.png","2000419345","","","Contribute"
"José Romero","https://sortitoutsi.net/graphics/browse/1/1802791/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000420799.png","2000420799","","","0
                                 1"
"Juan Rodríguez","https://sortitoutsi.net/graphics/browse/1/1813823/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000505927.png","2000505927","","","Contribute"
"Juanito González","https://sortitoutsi.net/graphics/browse/1/1619626/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000334456.png","2000334456","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000334456.png?width=100&height=100","0
                                 2"
"Junior","https://sortitoutsi.net/graphics/browse/1/1437910/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000163363.png","2000163363","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000163363.png?width=100&height=100","0
                                 5"
"Júnior Firpo","https://sortitoutsi.net/graphics/browse/1/458875/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67222900.png","67222900","","","1
                                 27"
"Kenta","https://sortitoutsi.net/graphics/browse/1/1824321/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000419158.png","2000419158","","","0
                                 1"
"Kwame Sosu","https://sortitoutsi.net/graphics/browse/1/1823853/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000499114.png","2000499114","","","0
                                 1"
