"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Joan Ruiz","https://sortitoutsi.net/graphics/browse/1/1467106/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000216455.png","2000216455","Contribute","",""
"Jon Ander Olasagasti","https://sortitoutsi.net/graphics/browse/1/863880/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67262370.png","67262370","0
                                 12","",""
"Jorge Cabello","https://sortitoutsi.net/graphics/browse/1/1561459/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000301558.png","2000301558","0
                                 5","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000301558.png?width=100&height=100"
"José Luis Morales","https://sortitoutsi.net/graphics/browse/1/449159/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67030120.png","67030120","0
                                 23","",""
"Kareem Tunde","https://sortitoutsi.net/graphics/browse/1/1439075/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000161876.png","2000161876","0
                                 3","V 2022.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2022.13/2000161876.png?width=100&height=100"
"Karl Etta Eyong","https://sortitoutsi.net/graphics/browse/1/1485300/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000190386.png","2000190386","0
                                 7","V 2026.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2026.00/2000190386.png?width=100&height=100"
"Kervin Arriaga","https://sortitoutsi.net/graphics/browse/1/980471/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/87040726.png","87040726","0
                                 4","V 2023.09","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.09/87040726.png?width=100&height=100"
"Luismi","https://sortitoutsi.net/graphics/browse/1/1817828/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493693.png","2000493693","Contribute","",""
"Manel Usedo","https://sortitoutsi.net/graphics/browse/1/1823247/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493690.png","2000493690","Contribute","",""
"Manu Sánchez","https://sortitoutsi.net/graphics/browse/1/1067011/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67284340.png","67284340","0
                                 16","V 2024.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.05/67284340.png?width=100&height=100"
"Mario Sesè","https://sortitoutsi.net/graphics/browse/1/1373285/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000132169.png","2000132169","0
                                 10","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/2000132169.png?width=100&height=100"
"Martín Krug","https://sortitoutsi.net/graphics/browse/1/1819939/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000369649.png","2000369649","0
                                 2","",""
"Mathew Ryan","https://sortitoutsi.net/graphics/browse/1/189939/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/15016604.png","15016604","0
                                 48","V 2024.04","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.04/15016604.png?width=100&height=100"
"Matías Moreno","https://sortitoutsi.net/graphics/browse/1/1441292/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000158335.png","2000158335","0
                                 8","",""
"Nacho Pérez","https://sortitoutsi.net/graphics/browse/1/1824285/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000445700.png","2000445700","Contribute","",""
"Oriol Rey","https://sortitoutsi.net/graphics/browse/1/460249/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67245415.png","67245415","1
                                 14","",""
"Pablo Campos","https://sortitoutsi.net/graphics/browse/1/1269558/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000062888.png","2000062888","0
                                 10","",""
"Pablo Martínez","https://sortitoutsi.net/graphics/browse/1/788484/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67257916.png","67257916","1
                                 13","V 2024.07","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.07/67257916.png?width=100&height=100"
"Pablo Rosón","https://sortitoutsi.net/graphics/browse/1/1811469/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000418739.png","2000418739","0
                                 1","",""
"Pau Calvo","https://sortitoutsi.net/graphics/browse/1/1811796/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000446063.png","2000446063","Contribute","",""
"Roger Brugué","https://sortitoutsi.net/graphics/browse/1/976265/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67269465.png","67269465","2
                                 12","",""
"Shyngys Kaliev","https://sortitoutsi.net/graphics/browse/1/1820494/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000417050.png","2000417050","Contribute","",""
"Unai Elgezabal","https://sortitoutsi.net/graphics/browse/1/456891/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67186192.png","67186192","0
                                 12","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67186192.png?width=100&height=100"
"Unai Tirado","https://sortitoutsi.net/graphics/browse/1/1818358/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000493695.png","2000493695","Contribute","",""
"Unai Vencedor","https://sortitoutsi.net/graphics/browse/1/791584/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67260207.png","67260207","4
                                 18","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67260207.png?width=100&height=100"
"Víctor García","https://sortitoutsi.net/graphics/browse/1/976290/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67270544.png","67270544","0
                                 8","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/67270544.png?width=100&height=100"
