"item-title","item-title href","item-title src","copies-text","card-footer","px-3","submission-preview src"
"Lander Pinillos","https://sortitoutsi.net/graphics/browse/1/1469882/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000212248.png","2000212248","0
                                 2","V 2025.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2025.00/2000212248.png?width=100&height=100"
"Lucas Boyé","https://sortitoutsi.net/graphics/browse/1/185040/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14110829.png","14110829","6
                                 21","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/14110829.png?width=100&height=100"
"Manex Irizar","https://sortitoutsi.net/graphics/browse/1/1490622/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000182746.png","2000182746","0
                                 3","V 2023.01","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.01/2000182746.png?width=100&height=100"
"Mariano","https://sortitoutsi.net/graphics/browse/1/455505/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67157152.png","67157152","3
                                 40","V 2023.00","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2023.00/67157152.png?width=100&height=100"
"Martin Echevarría","https://sortitoutsi.net/graphics/browse/1/1780405/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449005.png","2000449005","Contribute","",""
"Mikel Relloso","https://sortitoutsi.net/graphics/browse/1/1780236/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000449010.png","2000449010","Contribute","",""
"Mina","https://sortitoutsi.net/graphics/browse/1/1791016/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000504406.png","2000504406","Contribute","",""
"Moussa Diarra","https://sortitoutsi.net/graphics/browse/1/786394/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/49044569.png","49044569","3
                                 22","V 2024.05","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.05/49044569.png?width=100&height=100"
"Nahuel Tenaglia","https://sortitoutsi.net/graphics/browse/1/187316/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/14153906.png","14153906","0
                                 12","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/14153906.png?width=100&height=100"
"Nikola Maraš","https://sortitoutsi.net/graphics/browse/1/436541/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/62127145.png","62127145","0
                                 16","V 2024.13","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.13/62127145.png?width=100&height=100"
"Pablo Goitia","https://sortitoutsi.net/graphics/browse/1/1623270/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000328044.png","2000328044","0
                                 2","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000328044.png?width=100&height=100"
"Pablo Ibañez","https://sortitoutsi.net/graphics/browse/1/1249659/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000033089.png","2000033089","0
                                 11","V 2024.02","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.02/2000033089.png?width=100&height=100"
"Pablo Vinagre","https://sortitoutsi.net/graphics/browse/1/1802172/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000504403.png","2000504403","Contribute","",""
"Paco Sanz","https://sortitoutsi.net/graphics/browse/1/1800959/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000344533.png","2000344533","0
                                 2","",""
"Raúl Fernández","https://sortitoutsi.net/graphics/browse/1/448296/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67018270.png","67018270","0
                                 16","",""
"Rubén Montero","https://sortitoutsi.net/graphics/browse/1/1392194/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000104990.png","2000104990","0
                                 5","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000104990.png?width=100&height=100"
"Sami El Mahboubi","https://sortitoutsi.net/graphics/browse/1/1780358/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000387673.png","2000387673","Contribute","",""
"Toni Martínez","https://sortitoutsi.net/graphics/browse/1/458608/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/67216151.png","67216151","2
                                 35","V 2024.12","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.12/67216151.png?width=100&height=100"
"Victor Parada","https://sortitoutsi.net/graphics/browse/1/960331/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/16282754.png","16282754","0
                                 11","",""
"Xanet Oláiz","https://sortitoutsi.net/graphics/browse/1/1468096/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000214884.png","2000214884","0
                                 4","V 2024.06","https://sortitoutsidospaces.b-cdn.net/megapacks/cutoutfaces/originals/2024.06/2000214884.png?width=100&height=100"
"Yusi","https://sortitoutsi.net/graphics/browse/1/1464776/timeline","https://sortitoutsi.b-cdn.net/uploads/iconface/2000219705.png","2000219705","0
                                 10","",""
